Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Lead Speed (m/s),Ego Accel (m/s²),Lead Accel (m/s²),Smooth Accel (m/s²),Jerk (m/s³) (1 Hz),RSS Distance (m)
0.0,0.000135583929322,7.056000137329102,7.056000137329102,21.010123171603936,0.0,0.0,107.0,133.0,128.0,133.427001953125,3.766220258944444e-05,1.9600000381469727,,,,,0.0
0.05,0.0010030535786839,8.820000171661377,7.938000154495239,21.00778155756153,9.729992598295212e-06,0.1126999855041503,107.0,133.0,128.0,133.427001953125,0.00027862599407886107,2.450000047683716,0.004819275829788332,9.800000190734863,,,0.0
0.1,0.001350670153933,10.584000205993652,8.820000171661377,21.005746598547567,2.705003134906292e-05,0.2498999983072281,107.0,133.0,128.0,133.427001953125,0.00037518615387027775,2.940000057220459,0.0019312031958283336,9.800000190734863,,,0.0
0.15,0.0006134225379515,10.747439861297607,9.301860094070436,21.004523591131928,3.491004463285208e-05,0.4052902907133102,107.0,133.0,128.0,133.427001953125,0.00017039514943097223,2.9853999614715576,-0.004095820088786111,0.9079980850219729,,,0.0
0.2,0.0010125984199866,7.768655776977541,8.995219230651855,21.00437311050703,4.731002263724804e-05,0.5298077911138535,107.0,133.0,128.0,133.427001953125,0.00028127733888516664,2.157959938049317,0.0022176437890838877,-16.54880046844481,,,0.0
0.25,0.0011269491997487,4.894776105880743,8.311812043190004,21.004686487988568,6.275996565818787e-05,0.6134719923138618,107.0,133.0,128.0,133.427001953125,0.0003130414443746389,1.3596600294113175,0.0006352821097894448,-15.96599817275999,,,0.0
0.3,0.0010908342468642,0.2858883018613525,7.165251508714483,21.00487018878244,7.835996802896261e-05,0.6421069949865341,107.0,133.0,128.0,133.427001953125,0.0003030095130178333,0.07941341718370902,-0.00020063862713611127,-25.604932244552174,,,0.0
0.35,0.0009791621625479,1.2601333397479657,6.427111737593667,21.004785721596708,9.277998469769956e-05,0.6545059978961945,107.0,133.0,128.0,133.427001953125,0.0002719894895966389,0.3500370388188794,-0.0006204004684238889,5.412472432703408,,,0.0
0.4,0.000842329862464,1.81846296546511,5.915039651801606,21.00465121258422,0.0001053300220519,0.6770130023360252,107.0,133.0,128.0,133.427001953125,0.00023398051735111112,0.5051286015180861,-0.0007601794449105545,3.1018312539841326,,,0.0
0.45,0.000700928697802,2.0269728720120805,5.526232973822653,21.004520380350343,0.0001159299863502,0.7043372988700867,107.0,133.0,128.0,133.427001953125,0.0001947024160561111,0.5630480200033557,-0.0007855620259000005,1.1583883697053923,-0.0007576566792535653,,0.0
0.5,0.0005719873671055,1.9688721142311905,5.017520171512862,21.004423376604176,0.0001246699830517,0.7322819977998734,107.0,133.0,128.0,133.427001953125,0.00015888537975152777,0.5469089206197751,-0.0007163407260916668,-0.3227819876716121,-0.0007978313625945527,,0.0
0.55,8.245836319417049e-05,1.7295322128948023,4.308473375636205,21.00436723427948,0.0001293199602514,0.7578397989273071,107.0,133.0,128.0,133.427001953125,2.290510088726958e-05,0.4804256146930006,-0.0027196055772851615,-1.3296661185354897,-0.000693994549071762,,0.0
0.6000000000000001,0.0001992448150653,1.387136416372912,3.3887869966741304,21.004344211938506,0.0001315700355917,0.7791418991982937,107.0,133.0,128.0,133.427001953125,5.5345781962583335e-05,0.3853156712146978,0.0006488136215062745,-1.9021988695660546,-0.000488198048794703,,0.0
0.65,0.0002361830198207,1.00696340226384,2.4147393507707537,21.004341162351736,0.000134740024805,0.7953073885291815,107.0,133.0,128.0,133.427001953125,6.560639439463889e-05,0.27971205618440004,0.0002052122486411114,-2.112072300605958,-0.0002771830984531493,,0.0
